SELL,97.7123205311234,0.01310000000000001,0.2154999999999997,0.013241516219075508
BUY,97.7123205311234,0.01380000000000001,0.2164999999999997,522.288815557409,97.7679717408207
SELL,97.7123205311234,0.01480000000000001,0.21799999999999975,0.0004076107644341506,95.89854375157961
SELL,97.7123205311234,0.01370000000000001,0.21999999999999975,1.8427677182375497,98.26892288643268
SELL,97.7123205311234,0.01320000000000001,0.21649999999999975,0.0011341355955144347,96.84684137254837
SELL,97.7123205311234,0.01410000000000001,0.21649999999999978,0.002021983318998764,99.0422979666337
SELL,97.7123205311234,0.01370000000000001,0.2129999999999997,0.0002777603672311764,97.77603892052927
SELL,97.7123205311234,0.01430000000000001,0.21649999999999975,0.8708226272410682,97.34011735459308
SELL,97.7123205311234,0.01280000000000001,0.21699999999999972,0.0024708062148449048,96.51463675745845
SELL,97.7123205311234,0.01310000000000001,0.21699999999999972,0.14263151147162986,99.56894569771259
SELL,97.7123205311234,0.01310000000000001,0.21349999999999966,0.060164687687531866,97.91934820235423
