mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.10088148117065429,0.03159273242692554,0.0056517601013183595,0.0007016766836051842,0.8,0.01,5,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.503448275862069,0.4827586206896552,0.5655172413793104,0.5347222222222222,0.5347222222222222,0.5242337164750958,0.028553686438080282,3
0.22672452926635742,0.00954860872331203,0.006047964096069336,0.0007688030728999851,0.8,0.01,5,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.4896551724137931,0.46206896551724136,0.496551724137931,0.5,0.5208333333333334,0.49382183908045973,0.01897813930384435,27
0.40134167671203613,0.018702723890429894,0.0067440509796142575,0.00038703705134556806,0.8,0.01,5,500,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500, 'subsample': 0.8}",0.4896551724137931,0.46206896551724136,0.503448275862069,0.5555555555555556,0.5347222222222222,0.5090900383141763,0.03297446869173586,14
0.20278987884521485,0.013243254398170807,0.006256866455078125,0.0009043470507861085,0.8,0.01,10,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'subsample': 0.8}",0.496551724137931,0.5448275862068965,0.5517241379310345,0.5486111111111112,0.5138888888888888,0.5311206896551725,0.021955610996842095,1
0.5751081943511963,0.04885267473897603,0.007261323928833008,0.0005548602937431614,0.8,0.01,10,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 300, 'subsample': 0.8}",0.4896551724137931,0.5172413793103449,0.5172413793103449,0.5208333333333334,0.5069444444444444,0.5103831417624521,0.011355621523796848,13
0.8813326358795166,0.045282954942575976,0.012842082977294922,0.005660151190404993,0.8,0.01,10,500,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 500, 'subsample': 0.8}",0.4896551724137931,0.5172413793103449,0.5310344827586206,0.5416666666666666,0.5138888888888888,0.5186973180076628,0.0175982020711623,7
0.23673348426818847,0.010322401839614147,0.006175041198730469,0.0007444347597269302,0.8,0.01,15,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 100, 'subsample': 0.8}",0.4896551724137931,0.5379310344827586,0.5379310344827586,0.5138888888888888,0.5208333333333334,0.5200478927203066,0.017899057021943242,5
0.6730059623718262,0.030610473893482777,0.008337640762329101,0.0006340508121397989,0.8,0.01,15,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 300, 'subsample': 0.8}",0.5172413793103449,0.5172413793103449,0.47586206896551725,0.5138888888888888,0.5208333333333334,0.5090134099616859,0.0167205936038791,16
1.0794899463653564,0.040788083168690356,0.011025762557983399,0.0015998338800968191,0.8,0.01,15,500,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 500, 'subsample': 0.8}",0.5103448275862069,0.5241379310344828,0.4896551724137931,0.5486111111111112,0.5208333333333334,0.5187164750957856,0.019194823944912492,6
0.13404927253723145,0.031051712917878106,0.0071831226348876955,0.0016723045933020864,0.8,0.03,5,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.03, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.496551724137931,0.4482758620689655,0.5172413793103449,0.5347222222222222,0.5208333333333334,0.5035249042145594,0.03020621776015946,21
0.25780329704284666,0.0671025300027261,0.005574321746826172,0.0003986399595606949,0.8,0.03,5,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.03, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.503448275862069,0.4689655172413793,0.4827586206896552,0.5138888888888888,0.5208333333333334,0.49797892720306514,0.019384531065426203,26
0.453948974609375,0.03551295265915185,0.007822895050048828,0.001319868652357863,0.8,0.03,5,500,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.03, 'max_depth': 5, 'n_estimators': 500, 'subsample': 0.8}",0.496551724137931,0.46206896551724136,0.503448275862069,0.5347222222222222,0.5138888888888888,0.5021360153256704,0.023825472641833847,23
0.24119172096252442,0.04752955639151376,0.0069408416748046875,0.0009162988987882097,0.8,0.03,10,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.03, 'max_depth': 10, 'n_estimators': 100, 'subsample': 0.8}",0.5172413793103449,0.5310344827586206,0.5172413793103449,0.5138888888888888,0.4861111111111111,0.5131034482758621,0.014730717067993239,11
0.459893798828125,0.014040234891048392,0.007334423065185547,0.0004845747301270005,0.8,0.03,10,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.03, 'max_depth': 10, 'n_estimators': 300, 'subsample': 0.8}",0.496551724137931,0.496551724137931,0.503448275862069,0.5069444444444444,0.5208333333333334,0.5048659003831418,0.008939127172036888,20
