timestamp,open,high,low,close,volume
2024-11-05 13:00:00,68710.01000000,69039.27000000,13823.00000000,68821.67000000,18.56203000
2024-11-05 14:00:00,68819.51000000,70321.00000000,15488.00000000,70112.50000000,27.96561000
2024-11-05 15:00:00,70120.00000000,70339.00000000,15076.00000000,69598.05000000,22.33466000
2024-11-05 16:00:00,69598.05000000,70259.11000000,50000.00000000,70217.30000000,24.10628000
2024-11-05 17:00:00,70217.31000000,70450.18000000,14830.00000000,70020.00000000,28.76774000
2024-11-05 18:00:00,70020.00000000,70253.32000000,14373.00000000,70219.99000000,29.98900000
2024-11-05 19:00:00,70220.00000000,70264.98000000,17499.00000000,69559.48000000,25.84922000
2024-11-05 20:00:00,69591.99000000,69645.60000000,17499.00000000,69560.08000000,27.48205000
2024-11-05 21:00:00,69555.06000000,69630.08000000,68909.09000000,69085.27000000,26.89212000
2024-11-05 22:00:00,69085.27000000,69637.86000000,17499.00000000,69596.26000000,26.31889000
2024-11-05 23:00:00,69596.26000000,70279.00000000,68632.34000000,69353.26000000,29.84529000
2024-11-06 00:00:00,69353.26000000,71452.00000000,17499.00000000,71195.01000000,34.26190000
2024-11-06 01:00:00,71196.43000000,71452.00000000,17808.00000000,71148.01000000,25.89418000
2024-11-06 02:00:00,71148.01000000,73245.89000000,17910.00000000,73079.22000000,22.67221000
2024-11-06 03:00:00,73079.22000000,77063.00000000,17735.00000000,74303.97000000,25.87478000
2024-11-06 04:00:00,74305.94000000,75092.27000000,18126.00000000,74498.00000000,26.68566000
2024-11-06 05:00:00,74497.99000000,74849.99000000,73615.14000000,74747.64000000,25.15515000
2024-11-06 06:00:00,74747.64000000,75793.00000000,70983.00000000,74599.98000000,24.15636000
2024-11-06 07:00:00,74599.98000000,75109.34000000,70890.00000000,73368.35000000,20.85575000
2024-11-06 08:00:00,73366.26000000,73609.67000000,70558.00000000,73325.98000000,22.05495000
2024-11-06 09:00:00,73321.48000000,74340.00000000,72839.02000000,73800.02000000,24.57746000
2024-11-06 10:00:00,73788.70000000,74340.00000000,69825.00000000,73837.73000000,26.44586000
2024-11-06 11:00:00,73837.73000000,75032.70000000,69628.00000000,74137.33000000,27.53163000
2024-11-06 12:00:00,74137.34000000,75044.00000000,73690.90000000,74181.88000000,24.74210000
2024-11-06 13:00:00,74166.22000000,74470.24000000,68667.00000000,73982.16000000,26.35061000
2024-11-06 14:00:00,73981.44000000,74701.00000000,73332.13000000,73880.01000000,25.40628000
2024-11-06 15:00:00,73880.04000000,75130.00000000,35139.00000000,74427.06000000,25.75905000
2024-11-06 16:00:00,74439.99000000,74931.28000000,73558.98000000,74191.89000000,24.40737000
